,X,Y,X,Y,X,Y,X,Y,I,J,I,J,I,J,I,J
0,1214,1931,1188,1868,1166,1750,1191,1903,1109,1931,1136,1866,1162,1750,1127,1906
1,1219,1745,1189,1728,1173,1570,1197,1752,1103,1738,1132,1735,1152,1573,1115,1749
2,1215,1804,1188,1772,1167,1626,1193,1789,1108,1800,1135,1777,1157,1627,1123,1788
3,1172,1570,1142,1544,1128,1397,1151,1586,1057,1567,1078,1552,1103,1401,1076,1584
4,1221,1689,1191,1671,1174,1515,1198,1704,1102,1683,1131,1679,1150,1519,1114,1702
5,1221,1618,1191,1597,1174,1446,1197,1637,1103,1613,1129,1603,1149,1449,1116,1635
6,1220,1450,1191,1420,1174,1275,1191,1470,1106,1450,1126,1425,1149,1278,1124,1469
7,798,1434,769,1391,761,1244,820,1424,704,1448,705,1415,748,1265,777,1425
8,1222,1327,1191,1299,1176,1113,1187,1375,1107,1327,1121,1303,1148,1116,1126,1372
9,1225,1253,1193,1227,1179,1032,1186,1315,1107,1254,1118,1230,1148,1036,1126,1311
10,1231,954,1201,924,1184,759,1183,1014,1109,974,1114,920,1148,773,1132,1011
11,1214,1958,1187,1892,1165,1778,1191,1926,1109,1959,1137,1890,1163,1777,1129,1928
12,1213,1979,1187,1907,1164,1803,1191,1941,1110,1979,1138,1905,1164,1801,1130,1942
13,1211,1988,1187,1908,1164,1817,1190,1945,1111,1988,1139,1906,1165,1813,1131,1945
14,1213,1997,1185,2001,1165,1852,1191,1952,1111,1999,1140,2001,1166,1857,1132,1952
15,1213,2019,1185,2023,1164,1882,1192,1971,1111,2021,1141,2023,1166,1886,1131,1971
16,1212,2048,1184,2051,1164,1918,1192,1996,1111,2050,1141,2051,1166,1922,1131,1994
17,1210,2080,1183,2083,1163,1952,1192,2022,1112,2082,1142,2084,1167,1956,1132,2019
18,1205,2136,1179,2139,1160,1986,1191,2065,1113,2135,1143,2140,1168,1990,1133,2061
19,1217,1774,1189,1755,1170,1597,1196,1772,1105,1767,1133,1762,1154,1599,1117,1770
20,1170,1770,1133,1744,1128,1593,1150,1762,1061,1766,1078,1753,1113,1597,1077,1760
21,606,1214,574,1172,579,1001,625,1209,529,1245,513,1199,584,1033,617,1213
22,962,1488,941,1438,922,1306,969,1469,865,1496,880,1452,911,1318,922,1468
23,905,1492,883,1440,866,1310,919,1472,809,1501,822,1457,855,1324,873,1472
24,851,1487,826,1436,814,1303,870,1470,757,1498,765,1455,803,1319,825,1470
25,779,1455,745,1407,744,1261,802,1441,688,1469,682,1432,734,1281,761,1442
26,1011,1474,988,1428,969,1292,1009,1459,912,1480,926,1440,957,1302,961,1458
27,895,1354,860,1317,854,1133,896,1377,794,1366,790,1336,833,1150,850,1376
28,954,1360,921,1322,915,1144,949,1379,852,1369,852,1338,895,1158,902,1378
29,839,1359,802,1322,796,1138,849,1380,740,1372,732,1344,777,1157,803,1380
30,800,1374,762,1337,757,1159,816,1389,703,1389,693,1361,740,1180,772,1388
31,735,1489,700,1436,704,1295,761,1471,648,1504,641,1460,698,1316,723,1472
32,997,2227,952,2204,971,2031,1007,2139,912,2222,924,2211,982,2036,954,2130
33,780,1419,747,1381,743,1224,801,1412,687,1435,682,1407,730,1245,758,1414
34,577,1459,541,1410,556,1247,606,1425,508,1481,492,1438,566,1274,595,1427
35,675,1450,639,1405,648,1245,700,1438,591,1467,581,1432,645,1269,669,1439
36,933,1708,876,1645,901,1528,940,1680,837,1712,819,1660,890,1537,884,1680
37,1151,1923,1097,1855,1110,1741,1134,1894,1047,1924,1044,1857,1103,1745,1070,1897
38,1159,1978,1102,1901,1119,1803,1143,1939,1058,1980,1052,1901,1117,1803,1083,1940
39,1085,1942,1005,1857,1052,1764,1077,1904,985,1944,951,1861,1047,1767,1016,1907
40,1042,1967,945,1862,1016,1791,1039,1919,945,1970,893,1868,1013,1793,982,1921
41,1112,1983,1035,1894,1080,1810,1102,1938,1014,1985,984,1896,1078,1811,1043,1940
42,1074,1990,983,1889,1049,1819,1068,1939,978,1993,932,1893,1049,1820,1012,1940
43,969,2051,882,1959,946,1880,976,1982,879,2054,838,1966,949,1882,924,1980
44,1174,1743,1140,1724,1131,1567,1157,1749,1059,1738,1083,1734,1110,1572,1075,1746
45,1168,1690,1135,1669,1125,1516,1150,1703,1051,1685,1075,1679,1100,1521,1067,1701
46,710,1310,677,1278,677,1082,734,1346,616,1327,608,1307,662,1105,697,1346
47,1044,1572,1009,1526,1003,1393,1036,1559,942,1575,949,1536,989,1400,980,1559
48,1047,1733,995,1685,1017,1558,1039,1720,942,1733,936,1697,1000,1564,970,1718
49,1042,1705,991,1655,1010,1530,1034,1692,937,1706,932,1667,994,1537,968,1691
50,757,1705,692,1626,735,1522,786,1669,671,1714,637,1647,729,1536,739,1669
51,1170,1624,1139,1600,1126,1451,1151,1640,1053,1620,1076,1609,1101,1455,1071,1638
52,850,1261,819,1233,804,1025,861,1323,743,1273,744,1257,775,1043,812,1322
53,767,1273,735,1244,729,1040,786,1326,666,1289,662,1272,706,1060,743,1326
54,662,1112,631,1076,631,901,674,1133,574,1143,560,1102,623,935,658,1137
55,1101,1317,1071,1289,1047,1095,1085,1370,987,1319,998,1300,1018,1103,1027,1367
56,1006,1377,975,1338,967,1171,996,1388,904,1385,907,1352,948,1183,949,1387
57,928,2001,832,1886,913,1827,937,1939,838,2005,785,1894,914,1830,885,1938
58,632,1973,590,1922,636,1742,662,1867,582,1980,572,1939,665,1758,656,1864
59,1088,1763,1037,1717,1056,1587,1075,1746,983,1762,981,1727,1042,1591,1007,1744
